date,time,Total kW,Total kVA,Total kVAr,PF
2021-03-03,23:00:00,22740.0,23630.0,6424.118616588582,0.9623360135421075
2021-04-03,00:00:00,21600.0,22570.0,6545.60157663144,0.9570225963668587
2021-04-03,01:00:00,20510.0,21390.0,6072.231879630422,0.9588592800374006
2021-04-03,02:00:00,19790.0,20630.0,5826.903122585787,0.9592825981580223
2021-04-03,03:00:00,17170.0,17840.0,4843.211744287049,0.9624439461883408
2021-04-03,04:00:00,18710.0,19560.0,5703.46385979608,0.9565439672801636
2021-04-03,05:00:00,18600.0,19430.0,5618.264856697306,0.957282552753474
2021-04-03,06:00:00,18810.0,19610.0,5544.005772002767,0.9592044875063743
2021-04-03,07:00:00,18190.0,18960.0,5348.410978973101,0.9593881856540084
2021-04-03,08:00:00,17060.0,18170.0,6253.423062611389,0.9389102916895983
2021-04-03,09:00:00,17410.0,18800.0,7094.497868066492,0.926063829787234
2021-04-03,10:00:00,18660.0,20500.0,8488.486319715665,0.9102439024390244
2021-04-03,11:00:00,19450.0,21500.0,9162.286832445272,0.9046511627906977
2021-04-03,12:00:00,19823.255,21923.788,9364.349495502556,0.904189321662844
2021-04-03,13:00:00,20000.0,22090.0,9379.131089818502,0.9053870529651425
2021-04-03,14:00:00,15550.0,16790.0,6332.582411623239,0.9261465157832043
2021-04-03,15:00:00,16840.0,18230.0,6981.926668191238,0.9237520570488206
2021-04-03,16:00:00,20906.591,23047.729,9701.147603049856,0.9070998274927652
2021-04-03,17:00:00,21209.852,23560.449,10258.505506149375,0.9002312307375805
2021-04-03,18:00:00,20202.894,26174.023,16640.990175746545,0.7718681228330853
2021-04-03,19:00:00,20981.894,27023.603,17030.42111265523,0.7764284429430081
2021-04-03,20:00:00,20872.068,25655.817,14919.038955001926,0.8135413500961595
2021-04-03,21:00:00,18654.481,21648.977,10985.833776603758,0.8616795611173683
2021-04-03,22:00:00,21029.479,22652.205,8419.228251483866,0.9283634418812649
2021-04-03,23:00:00,20464.108,22307.169,8878.630105984654,0.9173780859417884
2021-05-03,00:00:00,19719.661,21284.687,8010.79713468317,0.9264717399884714
2021-05-03,01:00:00,18966.006,22291.267,11712.864759453723,0.8508267385608903
2021-05-03,02:00:00,18316.627,24959.746,16955.532894232107,0.7338466905873161
2021-05-03,03:00:00,17553.457,23884.53,16197.126926404295,0.7349299735016765
2021-05-03,04:00:00,17258.524,22148.921,13882.29270710227,0.7792038266785096
2021-05-03,05:00:00,17143.735,21806.898,13477.134362770856,0.7861611037021404
2021-05-03,06:00:00,17635.729,19919.531,9261.143444441404,0.8853486058482
2021-05-03,07:00:00,17519.507,22125.54,13513.193359400693,0.791822798449213
2021-05-03,08:00:00,15743.958,24569.956,18862.940500785444,0.6407808788912769
2021-05-03,09:00:00,16427.285,27842.006,22479.359546766696,0.5900180109148744
2021-05-03,10:00:00,17003.505,23437.036,16129.955802179713,0.7254972429107504
2021-05-03,11:00:00,18501.357,24358.886,15844.71887789578,0.7595321477345065
2021-05-03,12:00:00,18389.6,23736.432,15008.025050972696,0.774741544980307
2021-05-03,13:00:00,18593.463,26684.729,19140.477932148715,0.6967829053088753
2021-05-03,14:00:00,19771.543,25523.845,16141.646476836742,0.7746302722023269
2021-05-03,15:00:00,20105.799,23145.085,11465.243400330584,0.8686854682106374
2021-05-03,16:00:00,11601.201,15794.229,10717.733205395625,0.7345215141555818
2021-05-03,17:00:00,7757.474,14499.254,12249.488303428841,0.5350257330480589
2021-05-03,18:00:00,13355.614,18040.185,12127.483230960539,0.7403257782555999
2021-05-03,19:00:00,15343.282,25836.247,20786.903485451727,0.5938665162939494
2021-05-03,20:00:00,16637.298,24863.79,18477.239199168693,0.6691376495699166
2021-05-03,21:00:00,15729.473,20095.835,12507.048552296259,0.7827230368879919
2021-05-03,22:00:00,13528.523,16770.344,9910.777129812124,0.8066932318144457
2021-05-03,23:00:00,14711.939,18706.137,11553.28578037642,0.7864765985622794
2021-06-03,00:00:00,13043.196,19593.743,14621.552682791009,0.6656816923647514
2021-06-03,01:00:00,11446.906,17534.457,13282.527067994739,0.6528235234202007
2021-06-03,02:00:00,11181.297,21678.727,18572.716595541966,0.5157727665466705
2021-06-03,03:00:00,12779.792,21705.346,17544.200221624582,0.5887854540535773
2021-06-03,04:00:00,13261.991,23224.032,19065.027066672184,0.5710460181935678
2021-06-03,05:00:00,13189.38,23197.624,19083.239097725942,0.5685659876201115
2021-06-03,06:00:00,13133.866,23405.544,19373.204531774812,0.5611433769708578
2021-06-03,07:00:00,12736.389,27449.33,24315.635148800433,0.4639963525521387
2021-06-03,08:00:00,12977.835,34299.146,31749.12935880433,0.3783719571326936
2021-06-03,09:00:00,13839.6,34959.773,32103.756790312393,0.39587213566861545
2021-06-03,10:00:00,14201.311,33539.262,30384.286422194007,0.42342347902586525
2021-06-03,11:00:00,14214.702,29230.664,25541.6124184064,0.48629418750118025
2021-06-03,12:00:00,14034.743,24365.133,19916.97002637801,0.5760175000891643
2021-06-03,13:00:00,12476.906,19689.795,15232.033475842578,0.6336737380963083
2021-06-03,14:00:00,15372.458,26566.363,21667.00667111184,0.5786436780977509
2021-06-03,15:00:00,17787.142,21262.011,11648.634736996304,0.836569127915511
2021-06-03,16:00:00,17786.335,21076.302,11307.377824366666,0.8439020754210107
2021-06-03,17:00:00,17263.319,20544.028,11137.095831904428,0.8403083854831195
2021-06-03,18:00:00,17073.246,20430.999,11221.853285508816,0.8356539981231461
2021-06-03,19:00:00,19026.592,26556.134,18526.118047003045,0.7164669375444483
2021-06-03,20:00:00,21231.033,27297.904,17158.636325364754,0.7777532296985146
2021-06-03,21:00:00,22251.881,23690.673,8130.300065481462,0.9392675758936861
2021-06-03,22:00:00,22151.782,23396.259,7528.843830201083,0.9468087184365672
2021-06-03,23:00:00,21454.991,23114.643,8600.586154871537,0.9281991073796815
2021-07-03,00:00:00,20009.736,23819.252,12921.580052370065,0.8400656746064067
2021-07-03,01:00:00,19005.546,23336.473,13541.794316914325,0.8144138148039765
2021-07-03,02:00:00,18071.166,20168.004,8954.403650967493,0.8960314565586164
2021-07-03,03:00:00,17784.371,19062.453,6862.453097221726,0.9329529101002897
2021-07-03,04:00:00,17479.513,19561.808,8782.42321410754,0.8935530396781319
2021-07-03,05:00:00,17170.548,20166.188,10575.794052034105,0.851452341910132
2021-07-03,06:00:00,16819.737,19815.214,10475.645713588587,0.8488294398435465
2021-07-03,07:00:00,16557.076,25478.155,19364.906829991432,0.6498538061331365
2021-07-03,08:00:00,15871.763,30197.254,25689.71172302926,0.5256028577962751
2021-07-03,09:00:00,16110.311,27736.106,22577.63175194677,0.5808425667251199
2021-07-03,10:00:00,15780.015,27443.762,22453.3115444564,0.5749946016876257
2021-07-03,11:00:00,15899.675,24758.156,18978.05636556892,0.6421994836772174
2021-07-03,12:00:00,16562.506,23303.163,16392.705719451347,0.7107406835715822
2021-07-03,13:00:00,17417.473,19021.181,7644.407166617433,0.9156883055789229
2021-07-03,14:00:00,18120.0,19540.0,7312.8106771610055,0.9273285568065507
2021-07-03,15:00:00,10590.0,13200.0,7879.841368961687,0.8022727272727272
2021-07-03,16:00:00,9370.0,21260.0,19083.781071894533,0.4407337723424271
2021-07-03,17:00:00,3820.0,6130.0,4794.215264253369,0.6231647634584013
2021-07-03,18:00:00,3055.691,8395.833,7820.02329129575,0.3639532849212222
2021-07-03,19:00:00,8917.521,13879.161,10635.268180844336,0.6425115322172573
2021-07-03,20:00:00,21767.596,29071.784,19270.19432500461,0.7487533616788017
2021-07-03,21:00:00,22157.59,27561.846,16391.966334751178,0.8039225674506707
2021-07-03,22:00:00,21815.596,26661.604,15327.129510041988,0.8182401929006222
2021-07-03,23:00:00,20538.702,28811.171,20205.08090917819,0.7128728644871811
2021-08-03,00:00:00,19558.571,24438.435,14652.62453238955,0.8003201105144416
2021-08-03,01:00:00,18604.756,25422.492,17325.303855070706,0.7318226710426343
2021-08-03,02:00:00,18255.284,25410.077,17675.311007879696,0.7184269453414092
2021-08-03,03:00:00,17835.87,27149.519,20468.955109493523,0.6569497603254039
2021-08-03,04:00:00,17420.722,26907.429,20506.783765104585,0.6474316814140809
2021-08-03,05:00:00,17079.7,26560.923,20341.250662678754,0.6430386474144744
2021-08-03,06:00:00,16809.925,20307.842,11394.510441056214,0.827755356773014
2021-08-03,07:00:00,16692.174,20948.75,12657.861340535534,0.7968100244644668
2021-08-03,08:00:00,16330.875,19886.768,11348.39474199761,0.8211930163815457
2021-08-03,09:00:00,16829.137,21154.088,12817.003820978405,0.7955501083289432
2021-08-03,10:00:00,17809.853,19785.24,8617.706073891772,0.9001585525371437
2021-08-03,11:00:00,18677.827,20997.803,9594.087209572359,0.8895133933773929
2021-08-03,12:00:00,19264.987,21798.651,10200.071632573568,0.8837696883169514
2021-08-03,13:00:00,19412.211,23081.162,12486.236557174583,0.841041321923047
2021-08-03,14:00:00,19956.939,22803.14,11031.943600738676,0.8751838124047828
2021-08-03,15:00:00,20103.806,22650.535,10434.736225731294,0.8875642893203185
2021-08-03,16:00:00,19984.578,22339.595,9983.694052100203,0.8945810342577831
2021-08-03,17:00:00,19890.657,22929.715,11407.61123502971,0.8674620247133468
2021-08-03,18:00:00,19276.844,25891.478,17285.020058540515,0.7445246656061891
2021-08-03,19:00:00,20281.547,28299.543,19736.336673649446,0.716674011308239
2021-08-03,20:00:00,22720.29,24250.521,8477.982725114563,0.9368990464163636
2021-08-03,21:00:00,23969.501,25807.656,9565.465489213526,0.928774817829252
